cancer_type,protein,mean_in,mean_out,fold_change,p_value
Pancreatic,GRPEL1,0.0,0.398,-0.398,0.44345684595451196
Pancreatic,TOMM20,0.0,0.392,-0.392,0.44345684595451196
Pancreatic,AFG3L2,0.0,0.406,-0.406,0.44345684595451196
Pancreatic,NIPSNAP2,0.0,0.409,-0.409,0.44345684595451196
Other,FIS1,5.63,4.504,1.126,0.4502201420997045
Normal/Control,FIS1,6.622,5.318,1.304,0.4507197010742241
Colorectal,PMPCA,0.0,2.643,-2.643,0.4563850072418443
Other,TRAP1,13.714,13.555,0.16,0.45863679335494245
Normal/Control,NRDC,0.0,0.446,-0.446,0.46028974398595923
Breast,TOMM5,0.0,0.596,-0.596,0.46170188489416353
Breast,ATAD1,0.0,0.572,-0.572,0.46170188489416353
Other,LACTB,0.763,0.469,0.294,0.46417983500942894
Other,VPS13D,0.116,0.0,0.116,0.46577031131055235
Other,DNAJA3,0.111,0.0,0.111,0.46577031131055235
Other,SAMM50,0.12,0.0,0.12,0.46577031131055235
Colorectal,CASP3,0.0,2.765,-2.765,0.465964416327699
Breast,ARL2,5.789,4.584,1.205,0.4663240576653144
Other,MTX2,0.794,0.467,0.327,0.46640557949431827
Pancreatic,SLC25A4,7.171,5.267,1.903,0.47262215561649834
Pancreatic,TOMM34,0.0,0.374,-0.374,0.47441252802092104
Other,UQCRC2,1.71,2.212,-0.502,0.47572086338173825
Colorectal,UQCRC1,0.0,2.485,-2.485,0.4757565704443115
Breast,PGAM5,0.0,0.549,-0.549,0.48183835957893784
Patient plasma,UQCRC2,0.0,1.837,-1.837,0.4835396826049425
Other,PITRM1,0.608,0.908,-0.299,0.4850240086217784
Normal/Control,TOMM20,0.0,0.387,-0.387,0.4872647075156975
Normal/Control,SNAP29,0.0,0.411,-0.411,0.4872647075156975
Lung,AIFM1,0.0,0.976,-0.976,0.48747212612842594
Patient plasma,PARK7,8.849,11.815,-2.966,0.49047887044444805
Lung,FIS1,6.444,5.367,1.077,0.49993576561961717
Breast,NLN,2.403,1.494,0.909,0.5008705838262588
